timestamp,hour,day_of_week,close,volume,ticker,date,sma_50,sma_200,day_of_month,month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,target_4periods_ahead,target_8periods_ahead,target_16periods_ahead
2022-01-03 00:00:00+00:00,0,Monday,225.32000000,30573792.00000000,IWM,2022-01-03,226.73740000,223.92210000,3,1,0,0.00000000,1.00000000,0.00000000,1.00000000,0.50000000,0.86602540,-0.04105273,-0.05019528,-0.13025919
2022-01-04 00:00:00+00:00,0,Tuesday,224.98000000,22013134.00000000,IWM,2022-01-04,226.68880000,223.92085000,4,1,0,0.00000000,1.00000000,0.78183148,0.62348980,0.50000000,0.86602540,-0.04293715,-0.04742644,-0.14872433
2022-01-05 00:00:00+00:00,0,Wednesday,217.36000000,40582077.00000000,IWM,2022-01-05,226.44460000,223.92235000,5,1,0,0.00000000,1.00000000,0.97492791,-0.22252093,0.50000000,0.86602540,0.00115017,-0.04384431,-0.10172065
2022-01-06 00:00:00+00:00,0,Thursday,218.60000000,38575870.00000000,IWM,2022-01-06,226.25980000,223.95515000,6,1,0,0.00000000,1.00000000,0.43388374,-0.90096887,0.50000000,0.86602540,-0.01193962,-0.06473010,-0.07941446
2022-01-07 00:00:00+00:00,0,Friday,216.07000000,30975511.00000000,IWM,2022-01-07,226.10820000,223.95220000,7,1,0,0.00000000,1.00000000,-0.43388374,-0.90096887,0.50000000,0.86602540,-0.00953395,-0.07090295,-0.05882353
2022-01-10 00:00:00+00:00,0,Monday,215.32000000,45726373.00000000,IWM,2022-01-10,225.85240000,223.92575000,10,1,0,0.00000000,1.00000000,0.00000000,1.00000000,0.50000000,0.86602540,-0.00469069,-0.08512911,-0.06492662
2022-01-11 00:00:00+00:00,0,Tuesday,217.61000000,35060892.00000000,IWM,2022-01-11,225.64360000,223.94180000,11,1,0,0.00000000,1.00000000,0.78183148,0.62348980,0.50000000,0.86602540,-0.04494279,-0.07389366,-0.09227517
2022-01-12 00:00:00+00:00,0,Wednesday,215.99000000,35128512.00000000,IWM,2022-01-12,225.28420000,223.93170000,12,1,0,0.00000000,1.00000000,0.97492791,-0.22252093,0.50000000,0.86602540,-0.05342840,-0.07940182,-0.08153155
2022-01-13 00:00:00+00:00,0,Thursday,214.01000000,34448916.00000000,IWM,2022-01-13,224.87540000,223.89705000,13,1,0,0.00000000,1.00000000,0.43388374,-0.90096887,0.50000000,0.86602540,-0.06195972,-0.08429513,-0.06845475
2022-01-14 00:00:00+00:00,0,Friday,214.31000000,41915871.00000000,IWM,2022-01-14,224.38880000,223.84990000,14,1,0,0.00000000,1.00000000,-0.43388374,-0.90096887,0.50000000,0.86602540,-0.08081751,-0.10634128,-0.05389389
2022-01-18 00:00:00+00:00,0,Tuesday,207.83000000,49512155.00000000,IWM,2022-01-18,223.77440000,223.76420000,18,1,0,0.00000000,1.00000000,0.78183148,0.62348980,0.50000000,0.86602540,-0.03031324,-0.06053024,-0.00587018
2022-01-19 00:00:00+00:00,0,Wednesday,204.45000000,45768065.00000000,IWM,2022-01-19,223.02720000,223.66490000,19,1,0,0.00000000,1.00000000,0.97492791,-0.22252093,0.50000000,0.86602540,-0.02743947,-0.01570066,-0.00494008
2022-01-20 00:00:00+00:00,0,Thursday,200.75000000,50365524.00000000,IWM,2022-01-20,222.19100000,223.56520000,20,1,0,0.00000000,1.00000000,0.43388374,-0.90096887,0.50000000,0.86602540,-0.02381071,0.01300125,0.00313823
2022-01-21 00:00:00+00:00,0,Friday,196.99000000,84950501.00000000,IWM,2022-01-21,221.30780000,223.43735000,21,1,0,0.00000000,1.00000000,-0.43388374,-0.90096887,0.50000000,0.86602540,-0.02776791,0.02208234,0.01873192
2022-01-24 00:00:00+00:00,0,Monday,201.53000000,85618215.00000000,IWM,2022-01-24,220.59140000,223.33205000,24,1,0,0.00000000,1.00000000,0.00000000,1.00000000,0.50000000,0.86602540,-0.03116161,-0.01984816,0.02247804
2022-01-25 00:00:00+00:00,0,Tuesday,198.84000000,60674549.00000000,IWM,2022-01-25,219.78300000,223.21765000,25,1,0,0.00000000,1.00000000,0.78183148,0.62348980,0.50000000,0.86602540,0.01207001,-0.00231342,0.03847314
2022-01-26 00:00:00+00:00,0,Wednesday,195.97000000,71223145.00000000,IWM,2022-01-26,218.91240000,223.09180000,26,1,0,0.00000000,1.00000000,0.97492791,-0.22252093,0.50000000,0.86602540,0.03770985,0.01729857,0.02668776
